length,cpu_s,gpu_s,speedup,ghash
1,0.0006536,0.0001732,3.773672055427251,0.000357968
2,0.0006074,0.000194,3.1309278350515464,0.0198144
3,0.000635,0.0001921,3.3055700156168664,1.24065
4,0.0065155,0.0003017,21.595956247928402,48.9769
5,0.32906,0.147197,2.2355075171368983,6.22386
6,24.4042,1.40732,17.340903277150897,40.3606
7,1362.65,149.119,9.138003876098955,23.6161
