length,cpu_s,gpu_s,speedup,ghash
1,0.0014044,0.0001677,8.374478234943352,0.000369708
2,0.0012295,0.0002423,5.074288072637226,0.0158646
3,0.0010752,0.0002086,5.154362416107382,1.14251
4,0.0062863,0.0001797,34.98219254312743,82.2278
5,0.336151,0.144731,2.3225915664232266,6.32989
6,20.9381,1.42736,14.669109404775249,39.7938
7,1329.77,148.601,8.94859388564007,23.6985
