length,cpu_s,gpu_s,speedup,ghash
1,0.0011081,0.000181,6.122099447513812,0.000342541
2,0.0012057,0.0001553,7.763683193818416,0.0247521
3,0.0012139,0.0001718,7.065774155995343,1.38724
4,0.0062025,0.0001808,34.305862831858406,81.7275
5,0.335317,0.144673,2.3177579783373536,6.33243
6,21.1135,1.40255,15.053652276211187,40.4979
7,1326.14,148.359,8.93872296254356,23.7371
