length,cpu_s,gpu_s,speedup,ghash
1,0.0011746,0.0001726,6.805330243337196,0.000359212
2,0.0013824,0.0001813,7.624931053502483,0.0212024
3,0.0011956,0.0001739,6.875215641173088,1.37049
4,0.0061892,0.0002105,29.402375296912112,70.1964
5,0.342128,0.142207,2.4058450005977203,6.44223
6,21.4898,1.39931,15.357426160036017,40.5917
7,1321.0,147.497,8.956114361648032,23.8758
